
REQUESTS
server,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
Bjoern,122952.89,128591.6,112026.15,110879.6,105140.87,102464.1,99993.76,99589.37,95832.11,96266.04,87686.68,81572.48,65804.8,54869.42,70042.35,76427.29,81434.6,78183.9,83394.68
CherryPy,4090.91,4070.11,4099.65,3990.0,4092.47,4069.93,4086.8,4077.93,4060.42,4094.58,4075.59,4081.42,4048.67,4045.69,3442.88,4011.1,4035.76,4021.49,4002.01
Gunicorn,1052.29,1208.83,1364.93,1155.37,352.61,1552.51,1161.68,1120.96,955.45,1409.63,1526.09,1100.17,1563.66,1210.77,1026.62,920.59,922.57,863.26,779.35
Meinheld,1104.37,1395.13,2325.43,39.01,2724.39,120.07,426.61,2384.56,2717.91,2479.21,2000.75,2483.78,3207.4,2907.04,3634.57,3694.44,2570.73,2193.14,2436.76
mod_WSGI-express,1258.64,0.03,7.98,1855.42,1914.24,1905.73,1792.37,2013.15,1811.22,1828.08,1746.67,1800.68,1629.46,1774.14,1898.43,1740.57,1838.4,1646.04,1651.08
uWSGI,3.42,6.82,10.57,9.47,15.52,23.58,28.19,27.83,30.77,36.31,68.07,106.64,134.09,173.63,204.85,239.87,273.61,308.71,341.18

LATENCIES
server,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
Bjoern,790.89,1.57,2.67,3.59,4.82,5.87,7.06,5.78,9.17,10.33,16.41,18.11,27.07,51.93,71.9,82.84,90.7,96.85,116.35
CherryPy,2.44,2.44,2.42,2.43,2.44,2.45,2.44,2.44,2.45,2.43,2.45,2.44,2.45,2.46,2.44,2.47,2.45,2.45,2.47
Gunicorn,25.7,40.58,48.41,55.58,77.39,59.27,47.98,50.5,88.75,70.81,63.24,118.88,81.48,73.16,106.85,94.65,90.45,86.01,161.62
Meinheld,15.14,32.71,59.87,35.07,87.38,51.11,80.71,154.23,146.22,174.32,294.63,438.43,429.9,509.12,410.99,417.47,591.66,635.99,636.61
mod_WSGI-express,24.98,6.72,17.68,96.85,114.79,133.17,147.25,154.54,156.63,139.15,163.48,177.55,255.06,200.58,192.55,197.71,213.63,222.25,227.57
uWSGI,8.04,103.19,39.48,9.94,19.39,56.87,60.76,15.91,78.42,83.22,494.22,498.17,575.15,613.06,709.04,793.92,662.33,821.28,778.51

CPU
server,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
Bjoern,102.26,102.99,102.74,102.23,101.48,102.77,101.2,101.48,101.97,101.99,101.98,102.26,101.46,102.02,108.27,106.76,109.53,108.06,106.72
CherryPy,143.94,141.79,141.94,142.1,142.13,142.7,143.02,143.9,143.3,142.84,142.75,143.0,142.85,142.01,142.63,143.04,142.3,142.73,143.17
Gunicorn,171.39,172.05,180.62,186.86,46.8,198.95,195.89,183.16,161.3,170.9,174.58,161.92,188.12,155.1,176.29,145.98,161.25,178.56,79.8
Meinheld,100.12,101.85,102.43,9.88,103.23,14.5,15.3,101.5,97.74,95.75,101.81,99.45,92.19,105.14,103.73,100.38,100.22,90.0,99.5
mod_WSGI-express,199.96,0.05,12.04,202.02,199.36,198.75,199.35,201.18,199.41,199.69,199.99,199.73,194.37,201.09,202.39,202.99,202.17,204.16,203.49
uWSGI,0,0.16,1.16,0.7,3.01,3.01,6.16,3.86,3.41,6.64,12.84,19.97,31.02,33.41,46.28,34.94,36.9,52.22,53.16

MEMORY
server,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
Bjoern,3.551,3.576,3.416,3.682,3.736,3.867,3.826,3.719,3.99,3.944,4.51,4.424,5.501,5.681,6.709,7.123,7.68,8.155,9.163
CherryPy,13.09,13.12,13.49,13.82,14.3,14.5,14.9,15.27,15.63,16.04,19.62,25.15,25.58,31.64,28.86,35.7,41.9,42.35,45.9
Gunicorn,21.61,21.54,21.64,21.59,21.59,22.32,21.98,22.12,21.57,23.35,23.47,24.44,22.96,23.94,22.84,24.02,24.0,22.7,23.96
Meinheld,6.029,6.058,6.214,6.091,6.427,6.058,5.956,6.189,6.509,6.144,7.184,6.914,6.717,6.885,7.467,7.639,8.266,7.889,9.847
mod_WSGI-express,22.73,15.6,17.12,29.28,31.9,30.33,32.22,37.71,30.85,34.03,35.35,35.34,33.08,32.62,30.89,30.35,39.18,36.67,41.18
uWSGI,18.06,17.44,17.49,17.4,17.39,17.41,17.44,18.87,17.44,17.49,29.93,39.32,48.27,58.65,64.02,75.86,96.97,128.0,122.9

ERRORS
server,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
Bjoern,0,0,286,0,0,0,0,198,0,13,470,1221,1448,1380,418,725,260,536,0
CherryPy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372,291,0,0,0
Gunicorn,100,224,455,544,500,624,613,682,788,840,898,1228,1124,929,1738,1114,1215,698,2031
Meinheld,100,246,203,400,177,600,700,282,354,352,1343,2087,4712,5994,8259,6399,8593,9490,9039
mod_WSGI-express,100,200,300,249,282,377,453,558,654,679,1255,1236,1943,2348,2383,2755,2691,3024,3209
uWSGI,3,41,18,125,79,109,148,69,70,103,666,451,693,305,925,1682,3557,4056,4212
